### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Tor Ghar|95|46|0|21|7|29|9|12|3|0
Total|13849|3009|2678|958|601|750|384|127|27|176

### 2023 27
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|672|2|9|10|1|2|10|2|0|0
Bannu|596|869|140|0|5|10|40|0|0|0
Buner|705|439|0|0|0|24|28|6|0|1
Charsadda|1430|104|195|23|5|0|1|0|0|0
Chitral Lower|715|10|156|619|2|2|5|13|0|0
Chitral Upper|104|2|0|154|0|0|17|0|0|1
D.I. Khan|1054|516|24|40|6|24|8|17|0|0
Dir Lower|2112|708|240|239|177|176|100|23|0|155
Dir Upper|865|6|83|0|78|60|5|0|0|3
Hangu|457|456|418|114|10|31|15|12|4|4
Haripur|1383|45|56|10|136|5|49|2|0|83
Karak|423|166|76|12|20|0|8|23|10|0
Khyber|7|20|154|0|1|2|0|0|0|0
Kohat|83|25|28|3|2|0|2|4|0|1
Kohistan Lower|198|0|0|189|9|41|0|0|0|0
Kohistan Upper|362|0|0|11|15|16|10|0|0|0
Kolai Palas|107|0|0|14|9|18|1|0|6|0
L & C Kurram|22|30|14|0|0|0|0|0|2|0
Lakki Marwat|638|1084|0|0|7|14|34|0|0|0
Malakand|1292|83|51|76|128|176|30|2|0|43
Mansehra|880|5|514|39|27|30|75|0|24|4
Mardan|1106|260|614|139|210|117|177|219|0|22
Nowshera|2091|86|67|12|6|35|36|0|0|6
Peshawar|2685|51|711|24|55|227|115|5|20|20
Shangla|802|592|0|0|15|2|46|63|2|0
Swabi|2256|52|489|83|95|16|39|0|0|30
Swat|4349|63|344|0|5|317|82|18|0|12
Tank|232|190|0|0|0|4|3|0|0|0
Tor Ghar|145|81|0|18|1|28|4|6|4|0
Total|27771|5945|4383|1829|1025|1377|940|415|72|385

### 2023 28
Diseases|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|719|2|6|5|1|0|13|2|0|0
Bannu|892|1111|94|25|1|15|53|2|17|3
Buner|682|485|0|0|18|18|11|3|0|0
Charsadda|1508|82|155|21|2|0|0|0|0|0
Chitral Lower|867|9|92|726|4|5|8|8|0|2
Chitral Upper|156|2|2|255|0|0|29|0|0|3
D.I. Khan|1098|512|21|39|11|24|3|8|0|0
Dir Lower|2399|931|169|234|138|232|93|17|0|110
Dir Upper|922|7|86|0|85|38|32|0|0|6
Hangu|397|441|441|155|5|33|17|14|0|10
Haripur|1406|49|273|5|196|5|57|10|0|28
Karak|359|155|41|11|17|0|12|26|6|0
Khyber|6|35|132|1|1|2|3|1|0|1
Kohat|89|44|16|2|1|0|2|2|0|0
Kohistan Lower|205|5|0|211|7|40|0|0|5|0
Kohistan Upper|384|0|36|9|35|14|37|0|0|0
Kolai Palas|86|1|0|5|2|12|5|0|7|0
L & C Kurram|24|33|11|0|0|2|1|0|0|0
Lakki Marwat|659|1003|0|0|15|8|36|0|0|0
Malakand|1316|87|26|104|67|153|51|8|0|40
Mansehra|1067|5|632|47|77|42|45|0|42|8
Mardan|1069|126|559|130|408|63|42|55|0|5
Nowshera|2278|136|53|12|3|57|23|0|0|6
Peshawar|2941|72|1234|21|77|223|127|3|3|28
Shangla|573|565|0|0|3|0|8|4|0|0
Swabi|2034|39|649|61|93|27|23|0|0|36
Swat|5657|83|397|0|126|109|174|18|0|7
Tank|478|347|0|0|52|14|92|1|9|9
Tor Ghar|124|127|0|29|9|34|23|13|5|1
Total|30395|6494|5125|2108|1454|1170|1020|195|94|303

### 2023 29
Diseases|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|831|2|8|7|6|2|13|2|0|0
Bajaur|0|2|0|0|0|0|0|0|0|0
Bannu|714|953|97|0|4|2|33|1|0|0
Buner|675|437|0|0|6|29|14|18|0|5
Charsadda|1245|45|202|21|0|0|0|0|0|0
Chitral Lower|665|7|75|515|7|19|5|6|0|0
Chitral Upper|149|7|2|161|0|0|19|1|0|0
D.I. Khan|1010|419|19|45|9|6|0|11|0|0
Dir Lower|2334|707|107|161|176|119|49|24|1|57
Dir Upper|781|10|63|0|25|34|40|0|0|6
Hangu|416|394|468|123|8|24|13|13|0|16
Haripur|1046|35|24|7|138|0|79|11|0|27
Karak|319|152|91|15|11|2|6|15|3|0
Khyber|10|34|153|1|9|6|5|0|0|0
Kohat|57|28|2|3|0|0|0|6|0|0
Kohistan Lower|209|3|0|125|5|51|0|0|2|0
Kohistan Upper|523|5|54|17|3|41|81|1|0|0
Kolai Palas|86|4|0|23|5|8|0|0|5|0
L & C Kurram|16|9|3|0|0|3|1|0|0|0
Lakki Marwat|665|1109|0|0|23|5|40|1|0|0
Malakand|1229|78|36|24|99|102|37|0|105|74
Mansehra|801|4|494|31|64|14|9|0|25|2
Mardan|1390|110|495|93|248|41|0|68|0|38
Nowshera|2498|115|40|13|3|42|28|0|0|7
Peshawar|2965|49|714|33|91|185|91|5|0|14
Shangla|424|364|0|0|5|2|2|9|1|2
Swabi|1783|45|537|9|79|224|27|0|0|25
Swat|5291|50|333|0|43|73|198|13|0|10
Tank|322|345|0|0|37|1|88|0|0|0
Tor Ghar|110|126|0|16|28|26|16|13|0|0
Total|28564|5648|4017|1443|1132|1061|894|218|142|283

### 2023 30
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|772|3|5|6|7|1|16|1|0|0
Bajaur|82|46|1|0|0|3|2|0|3|0
Bannu|741|1078|122|1|3|4|43|0|0|0
Buner|509|459|0|0|0|8|9|7|0|0
Charsadda|1224|74|157|33|0|0|0|0|0|0
Chitral Lower|760|9|58|412|4|0|2|0|0|3
Chitral Upper|93|5|0|114|0|0|17|0|0|0
D.I. Khan|999|351|15|36|15|19|1|5|0|0
Dir Lower|2247|588|76|2|75|128|47|8|0|3
Dir Upper|786|8|83|0|16|36|40|0|16|5
Hangu|395|384|467|117|7|36|15|2|0|10
Haripur|1183|32|374|11|115|2|57|0|0|60
Karak|341|137|25|18|15|4|10|28|15|0
Khyber|10|44|62|3|3|4|5|0|1|0
Kohat|67|35|1|1|2|0|1|3|0|0
Kohistan Lower|120|8|0|140|7|27|0|0|0|0
Kohistan Upper|530|1|42|23|1|9|16|0|2|0
Kolai Palas|91|3|0|14|4|16|0|0|3|0
L & C Kurram|9|10|12|0|0|4|3|0|0|0
Lakki Marwat|507|881|0|0|11|13|28|0|0|0
Malakand|945|79|0|52|25|165|39|0|5|48
Mansehra|1027|7|384|37|52|43|56|0|13|9
Mardan|1316|49|539|48|137|30|0|0|0|7
Nowshera|2162|108|50|14|0|33|22|0|0|11
Peshawar|2734|124|474|35|71|145|101|3|0|17
Shangla|572|465|0|0|0|6|2|18|15|0
Swabi|1592|30|370|44|82|11|21|7|0|35
Swat|4275|81|266|0|81|92|127|3|0|7
Tank|156|235|0|0|0|3|6|0|0|0
Tor Ghar|102|120|2|20|0|32|13|5|0|7
Total|26347|5454|3585|1181|733|874|699|90|73|222

### 2023 31
Diseases|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|843|3|5|7|8|2|19|0|2|0
Bajaur|312|167|44|2|6|44|3|0|11|0
Bannu|689|889|67|0|3|6|43|0|0|0
Buner|712|568|0|0|33|14|11|28|0|0
Charsadda|1313|60|120|2|0|0|0|0|0|0
Chitral Lower|887|22|55|555|0|0|3|0|0|0
Chitral Upper|115|5|0|161|0|0|34|0|0|0
D.I. Khan|1033|598|19|70|11|7|10|5|0|0
Dir Lower|2649|789|0|0|98|153|44|14|1|59
Dir Upper|1382|5|36|0|52|55|29|0|20|4
Hangu|497|376|461|138|10|27|18|26|0|7
Haripur|1316|31|58|6|91|1|13|0|0|33
Karak|257|111|44|19|10|0|9|25|2|0
Khyber|10|68|95|2|1|6|5|0|1|3
Kohat|75|41|3|1|2|0|1|3|0|0
Kohistan Lower|200|2|0|286|3|48|0|0|0|0
Kohistan Upper|551|0|45|26|3|12|65|0|0|0
Kolai Palas|96|0|0|5|0|1|0|0|0|0
L & C Kurram|47|30|55|0|0|10|6|0|0|0
Lakki Marwat|558|1327|0|0|22|9|27|0|0|0
Malakand|969|8|13|89|5|25|18|0|0|0
Mansehra|996|90|433|76|45|46|25|2|5|13
Mardan|1666|19|666|80|76|35|0|0|4|20
Nowshera|2952|142|30|26|4|37|26|0|0|17
Peshawar|3169|135|1128|44|84|136|116|5|1|30
Shangla|650|446|0|22|11|0|48|74|16|3
Swabi|1524|37|495|8|139|17|23|2|0|30
Swat|5914|76|196|0|70|101|123|7|0|12
Tank|573|545|0|0|64|0|58|0|0|0
Tor Ghar|152|144|0|25|6|49|12|0|0|0
Total|32107|6734|4055|1561|865|905|776|191|88|249

### 2023 32
Districts|AD (NonCholera)|Malaria|ILI|B. Diarrhea|SARI|ALRI < 5 years|Typhoid|CL|VH (B, C & D)|AVH (A & E)
Abbottabad|928|3|7|2|6|10|11|0|1|0
Bajaur|407|170|39|35|2|8|3|1|0|0
Bannu|560|727|25|4|0|1|51|1|1|0
Buner|763|751|0|8|0|35|8|1|0|0
Charsadda|1378|64|179|0|22|5|0|0|0|0
Chitral Lower|777|13|137|0|419|3|10|21|0|3
Chitral Upper|106|10|0|0|117|0|19|0|0|0
D.I. Khan|1024|572|16|20|51|11|8|0|0|0
Dir Lower|2889|607|18|158|0|134|55|23|0|52
Dir Upper|1424|11|10|71|0|25|17|8|0|8
Hangu|415|397|59|12|53|8|16|29|0|10
Haripur|1684|87|265|2|12|134|70|0|21|26
Karak|288|172|35|1|20|5|2|67|0|0
Khyber|15|52|98|10|1|0|9|6|3|5
Kohat|74|51|1|0|0|2|0|5|0|0
Kohistan Lower|220|6|0|20|23|19|2|0|0|0
Kohistan Upper|555|2|26|19|3|3|98|0|0|0
Kolai Palas|146|1|0|7|2|2|1|0|0|0
L & C Kurram|25|22|37|22|0|0|3|0|0|0
Lakki Marwat|655|1609|0|14|0|19|18|12|0|0
Malakand|732|26|1|133|1|24|8|0|0|20
Mansehra|1004|9|487|42|204|34|29|0|8|10
Mardan|1179|55|70|29|0|43|0|4|0|3
Nowshera|2980|211|19|36|26|0|25|25|7|14
Peshawar|2171|37|756|690|28|75|146|16|135|14
Shangla|589|392|0|0|0|8|14|0|2|0
Swabi|1750|72|585|27|53|126|39|0|17|23
Swat|221|0|12|0|0|0|1|0|0|0
Tank|336|459|0|3|0|103|89|10|0|0
Tor Ghar|155|132|5|51|15|0|19|13|0|4
Upper Kurram|8|56|2|4|8|24|9|0|0|0
Total|25458|6776|2889|1420|1066|861|780|242|195|192

### 2023 33
Districts|AD (NonCholera)|Malaria|ILI|Sari|Typhoid|B. Diarrhea|ALRI <5 Years|AVH (A & E)|VH (B, C & D)|CL
Abbottabad|741|2|6|9|18|5|9|0|1|0
Bajaur|330|183|29|1|3|39|8|0|0|3
Bannu|683|1239|53|8|26|4|0|0|2|0
Buner|781|840|0|0|20|1|0|0|0|0
Charsadda|1436|114|149|18|0|0|2|0|0|0
Chitral Lower|837|30|149|591|6|0|3|14|0|9
Chitral Upper|111|18|0|168|13|0|0|1|0|0
D.I. Khan|1116|1010|19|39|4|18|15|0|0|2
Dir Lower|2410|812|0|2|40|175|172|48|2|2
Dir Upper|1600|7|6|0|2|34|24|2|0|5
Hangu|332|595|146|66|25|15|7|0|4|34
Haripur|1276|78|287|20|85|3|95|63|21|0
Karak|367|309|35|27|13|4|4|0|0|106
Khyber|5|1|0|3|5|5|0|0|0|0
Kohat|82|44|1|2|1|0|6|0|0|5
Kohistan Lower|122|1|0|218|0|39|4|0|0|2
Kohistan Upper|509|19|42|94|37|15|6|0|0|0
Kolai Palas|138|10|0|30|8|30|11|0|0|0
L & C Kurram|41|20|111|0|4|9|2|0|0|0
Lakki Marwat|684|1649|0|0|25|16|18|0|0|8
Malakand|1018|30|0|20|9|135|53|28|2|18
Mansehra|1001|6|591|28|19|45|39|10|7|1
Mardan|1416|67|103|7|0|25|5|9|8|0
Nowshera|2542|184|3|30|36|30|3|4|22|46
Peshawar|3806|95|560|60|142|140|106|36|57|10
Shangla|2179|515|0|0|34|7|9|2|95|0
Swabi|1661|67|373|43|34|31|108|21|1|0
Swat|5257|82|222|0|75|64|87|16|8|0
Tank|448|611|0|0|54|3|87|0|0|3
Tor Ghar|109|143|0|23|11|35|0|1|0|1
Upper Kurram|420|113|812|680|474|242|69|111|50|0
Total|33458|8894|3697|2187|1223|1169|952|366|280|255

### 2023 34
Districts|AD (NonCholera)|Malaria|ILI|SARI|Typhoid|B. Diarrhea|ALRI < 5 years|AVH (A & E)|CL|AWD (S. Cholera)
Abbottabad|786|3|20|11|16|4|12|0|0|0
Bajaur|316|166|25|0|0|27|6|0|1|8
Bannu|729|1350|50|2|40|1|1|0|2|0
Buner|771|604|0|0|27|1|38|1|0|0
Charsadda|1417|45|197|8|5|0|11|0|0|0
Chitral Lower|704|40|135|444|42|0|10|3|13|0
Chitral Upper|125|5|0|151|6|0|0|1|0|0
D.I. Khan|1012|930|18|53|0|22|18|0|0|0
Dir Lower|2466|843|2|2|53|205|155|42|12|0
Dir Upper|1890|8|4|0|45|51|18|6|4|142
Hangu|457|649|195|65|17|26|5|4|35|0
Haripur|1373|86|378|10|55|6|155|29|0|1
Karak|375|317|61|7|2|0|7|0|91|2
Khyber|20|154|48|2|4|10|2|0|15|0
Kohat|72|51|0|1|1|0|3|0|3|0
Kohistan Lower|206|3|0|1|0|24|13|0|0|1
Kohistan Upper|498|3|41|44|43|17|2|0|0|0
Kolai Palas|129|4|0|1|0|12|3|0|1|16
L & C Kurram|31|36|20|0|1|16|1|0|1|6
Lakki Marwat|758|1911|0|0|25|16|16|0|9|0
Malakand|678|17|0|14|8|99|22|24|0|0
Mansehra|1050|26|628|37|55|27|56|16|0|0
Mardan|1254|82|123|0|0|32|308|19|1|0
Nowshera|2633|229|77|49|18|23|2|0|46|0
Peshawar|3739|81|529|48|168|188|45|24|23|7
Shangla|364|375|0|0|17|5|5|2|0|0
SWA|0|0|0|5|0|0|0|0|0|0
Swabi|1341|108|436|6|30|22|85|19|0|0
Swat|7675|132|380|0|259|185|62|12|0|0
Tank|280|417|0|0|0|2|0|0|0|0
Tor Ghar|138|176|0|31|15|17|1|0|15|0
Upper Kurram|331|104|581|541|384|295|39|76|0|46
Total|33618|8955|3948|1533|1336|1333|1101|278|272|229

### 2023 35
Districts|AD (Non-Cholera)|Malaria|ILI|SARI|ALRI <5 Years|Typhoid|B. Diarrhea|AVH (A & E)|CL|Chickenpox/Varicella
Abbottabad|653|3|11|11|13|18|3|0|0|1
Bajaur|327|201|51|5|15|0|42|0|12|1
Bannu|622|1366|63|0|3|23|5|4|3|19
Buner|581|606|0|0|47|25|13|0|0|3
Charsadda|1456|57|183|13|2|2|0|0|0|0
Chitral Lower|589|19|103|367|4|28|0|5|1|1
Chitral Upper|92|6|2|131|0|19|1|0|0|45
D.I. Khan|1078|588|20|36|16|5|14|0|1|1
Dir Lower|2144|781|10|0|207|66|152|36|5|13
Dir Upper|1281|13|18|0|29|20|39|7|5|1
Hangu|315|701|103|42|5|20|19|4|29|0
Haripur|1368|84|447|4|208|83|10|71|0|6
Karak|385|280|32|19|5|1|1|0|81|0
Khyber|7|3|0|1|0|4|3|0|0|1
Kohat|76|35|0|1|2|1|0|0|7|0
Kohistan Lower|215|4|0|197|10|0|8|0|0|0
Kohistan Upper|515|0|18|2|6|56|14|0|0|0
Kolai Palas|106|1|0|7|4|0|10|0|0|0
L & C Kurram|49|37|117|0|0|8|13|0|0|7
Lakki Marwat|646|1719|0|0|15|17|14|0|9|0
Malakand|593|20|30|13|20|21|90|24|7|2
Mansehra|367|12|327|43|38|10|4|4|1|0
Mardan|873|127|132|5|244|0|21|9|0|5
NWA|NR|NR|0|0|5|NR|NR|NR|NR|6
Nowshera|2067|177|3|28|2|21|32|4|47|3
Peshawar|3878|115|519|55|124|231|173|32|14|23
Shangla|321|427|0|0|3|14|1|0|0|0
SWA|10|52|1|62|16|10|34|2|11|2
Swabi|1641|64|455|41|122|32|30|30|0|5
Swat|4520|49|176|0|108|5|111|14|0|2
Tank|341|582|0|0|68|36|13|0|9|0
Tor Ghar|100|151|0|14|3|18|35|0|11|3
Upper Kurram|238|37|425|412|27|284|23|42|0|4
Total|27454|8317|3246|1509|1371|1078|928|288|253|154

### 2023 36
Districts|AD (NonCholera)|Malaria|ILI|SARI|B. Diarrhea|Typhoid|ALRI <5 Years|Measles|Chickenpox/Varicella|AVH (A & E)
Abbottabad|598|4|18|12|2|17|4|1|2|0
Bajaur|386|194|55|3|62|1|9|1|0|0
Bannu|777|1309|37|0|5|42|0|3|4|3
Buner|540|418|0|0|6|10|47|0|4|0
Charsadda|1519|157|309|32|0|0|3|0|0|0
Chitral Lower|446|19|119|461|16|17|8|5|153|6
Chitral Upper|98|7|0|173|0|15|0|0|182|0
D.I. Khan|939|524|21|34|19|2|14|9|1|0
Dir Lower|2175|935|5|0|190|73|141|10|12|45
Dir Upper|1508|18|26|2|45|18|58|4|0|7
Hangu|274|681|239|33|46|25|3|0|0|7
Haripur|1297|123|683|0|11|81|180|1|8|74
Karak|321|274|66|20|2|8|6|8|0|0
Khyber|12|138|15|0|5|0|0|0|0|3
Kohat|74|45|0|0|0|1|1|4|0|0
Kohistan Lower|109|4|0|214|20|0|0|2|0|0
Kohistan Upper|355|1|62|19|14|31|1|4|0|0
Kolai Palas|140|4|0|0|13|0|8|0|0|0
L & C Kurram|68|59|164|0|11|6|0|2|0|0
Lakki Marwat|648|361|0|0|10|10|20|2|0|0
Malakand|740|36|33|16|89|26|29|22|6|26
Mansehra|516|2|328|53|14|15|20|5|3|0
Mardan|1276|41|115|0|42|0|98|3|9|39
Mohmand|NR|NR|NR|NR|NR|NR|NR|50|NR|NR
Nowshera|1877|209|5|18|37|31|5|8|1|7
Peshawar|3866|173|827|33|175|181|67|35|12|25
Shangla|884|366|0|0|0|34|2|10|0|0
SWA|198|178|57|78|75|49|79|248|3|26
Swabi|1615|91|682|9|28|32|82|13|23|25
Swat|4448|76|212|0|137|2|117|2|6|75
Tank|479|489|0|0|6|71|29|0|0|0
Tor Ghar|110|204|0|22|22|21|0|0|0|1
Upper Kurram|251|48|507|382|37|318|47|12|5|38
Total|28544|7188|4585|1614|1139|1137|1078|464|434|407

### 2023 37
Districts|AD (NonCholera)|Malaria|ILI|Typhoid|SARI|ALRI <5 Years|B. Diarrhea|CL|VH (B, C & D)|AVH (A & E)
Abbottaba|538|3|16|11|15|11|2|0|2|0
Bajaur|282|100|103|0|3|15|29|7|1|0
Bannu|733|1185|54|55|15|2|6|4|0|3
Battagram|277|100|615|0|1|0|0|0|0|5
Buner|477|533|0|25|0|48|3|0|0|0
Charsadda|1072|67|193|0|10|29|0|0|0|0
Chitral Lower|316|5|140|2|326|0|9|8|0|0
Chitral Upper|74|0|0|10|64|0|0|0|0|1
D.I. Khan|965|460|22|2|42|7|31|4|0|0
Dir Lower|2144|909|0|74|0|105|233|10|2|52
Dir Upper|1044|30|6|28|0|45|54|0|0|6
Hangu|281|563|94|25|31|7|31|28|4|4
Haripur|1502|111|322|61|2|212|5|0|26|50
Karak|305|283|20|4|15|5|3|82|0|0
Khyber|5|2|0|4|1|0|5|0|0|0
Kohat|66|34|0|1|1|1|0|5|0|0
Kohistan Lower|166|1|0|0|10|12|31|0|0|0
Kohistan Upper|389|1|65|59|2|0|12|0|0|0
Kolai Palas|75|2|12|0|11|3|5|0|0|0
L & C Kurram|32|38|93|4|0|0|13|1|1|0
Lakki Marwat|633|300|0|11|0|30|18|14|0|0
Malakand|571|27|0|29|12|16|75|8|3|17
Mansehra|646|6|657|11|45|49|14|0|0|4
Mardan|571|168|0|0|0|137|18|4|7|0
Mohmand|49|24|25|2|12|17|3|5|0|0
Nowshera|2278|172|3|21|40|3|31|38|11|6
Peshawar|3048|131|770|216|62|123|171|14|23|20
Shangla|1044|344|0|49|0|10|1|0|106|0
SWA|233|219|58|65|103|58|60|37|46|25
Swabi|1237|64|374|12|11|149|17|0|5|10
Swat|4056|68|206|4|0|20|107|1|2|17
Tank|516|634|0|144|0|29|6|7|0|0
Tor Ghar|93|158|0|37|6|0|26|10|0|0
Upper Kurram|305|52|524|301|346|35|155|1|12|20
Total|26023|6794|4372|1267|1186|1178|1174|288|251|240

### 2023 38
Districts|AD (NonCholera)|Malaria|ILI|Typhoid|B. Diarrhea|ALRI <5 Years|SARI|CL|Dog Bite|AVH (A & E)
Abbottabad|548|3|18|13|1|11|14|0|2|0
Bajaur|193|79|56|1|30|9|2|3|0|0
Bannu|708|1215|69|38|6|1|0|6|0|2
Battagram|125|117|337|0|0|0|0|32|9|1
Buner|609|525|0|19|0|49|0|0|6|0
Charsadda|958|76|174|0|0|5|14|0|0|0
Chitral Lower|308|38|81|26|23|13|28|12|1|10
Chitral Upper|114|3|15|18|13|23|53|0|1|4
D.I. Khan|1031|646|12|2|28|10|46|7|6|0
Dir Lower|1860|599|2|60|167|144|0|14|3|32
Dir Upper|541|30|1|14|38|26|0|5|0|4
Hangu|161|456|57|24|23|6|65|19|3|8
Haripur|1106|71|402|53|5|129|11|0|0|38
Karak|307|286|62|6|1|8|25|55|26|0
Khyber|5|0|0|4|5|0|2|0|0|0
Kohat|67|46|0|0|0|0|0|7|5|0
Kohistan Lower|106|3|0|0|29|7|0|1|0|0
Kohistan Upper|220|0|87|41|15|0|16|0|0|0
Kolai Palas|81|1|0|0|8|2|2|0|0|0
L & C Kurram|18|54|154|6|10|0|0|0|0|0
Lakki Marwat|586|373|0|13|10|60|0|7|0|0
Malakand|726|64|0|30|87|22|14|9|0|32
Mansehra|471|20|758|12|11|61|16|0|166|2
Mardan|739|194|0|0|25|137|0|5|0|14
Mohmand|109|110|32|35|39|19|19|54|8|13
Nowshera|2061|174|3|28|24|1|22|34|0|2
Peshawar|3264|121|771|195|219|138|107|21|0|27
Shangla|355|234|0|14|0|11|0|0|7|3
SWA|233|270|104|76|159|55|141|25|33|26
Swabi|1252|69|687|29|34|141|48|0|0|23
Swat|3237|64|245|11|33|26|0|0|12|18
Tank|506|524|0|332|0|19|0|18|0|0
Tor Ghar|91|129|0|27|17|1|11|6|10|0
Upper Kurram|412|26|676|333|237|34|319|0|29|16
Total|23108|6620|4803|1460|1297|1168|975|340|327|275

### 2023 39
Districts|AD (NonCholera)|Malaria|ILI|Typhoid|ALRI <5 Years|B. Diarrhea|SARI|Dog Bite|CL|AVH (A & E)
Abbottabad|478|4|17|11|11|2|16|2|0|0
Bajaur|177|115|12|0|12|22|3|0|2|0
Bannu|618|971|54|38|2|3|4|1|6|6
Battagram|239|154|521|0|0|0|0|4|0|5
Buner|342|325|0|10|48|0|0|0|0|0
Chitral Lower|301|25|73|9|16|30|39|12|5|6
Chitral Upper|119|8|8|20|8|5|9|0|1|7
D.I. Khan|994|582|10|1|10|15|41|4|3|0
Dir Lower|1546|696|31|66|224|143|0|5|15|32
Dir Upper|662|19|12|14|26|27|0|0|4|6
Hangu|188|598|91|36|5|20|70|6|55|7
Haripur|1023|66|429|39|302|7|4|0|0|23
Karak|278|281|2|1|11|0|0|22|50|0
Khyber|4|0|0|4|0|3|1|0|0|0
Kohat|53|39|0|0|1|0|1|3|8|0
Kohistan Lower|136|0|0|0|7|2|0|0|0|0
Kohistan Upper|300|9|75|53|1|37|45|0|0|0
Kolai Palas|58|3|0|0|0|6|0|0|0|0
L & C Kurram|9|11|73|3|0|5|0|0|0|0
Lakki Marwat|444|301|0|11|62|9|0|0|7|0
Malakand|736|76|0|30|41|81|0|0|3|40
Mansehra|209|14|134|27|25|8|151|111|0|4
Mardan|575|271|0|0|131|13|0|0|6|6
Mohmand|99|117|24|28|13|25|75|0|42|9
Nowshera|1602|138|3|17|1|17|29|15|29|0
Peshawar|2959|104|862|201|94|282|113|3|23|37
Shangla|96|133|0|12|6|0|0|7|0|3
SWA|189|129|133|124|55|214|88|17|17|25
Swabi|1081|100|231|34|94|18|12|0|0|14
Swat|2456|67|309|11|34|48|0|59|0|17
Tank|664|716|0|318|34|6|0|0|10|0
Tor Ghar|96|117|0|22|1|30|8|15|8|0
Upper Kurram|329|32|398|213|22|170|393|21|0|14
Total|19060|6221|3502|1353|1297|1248|1102|307|294|261

### 2023 41
Districts|AD (NonCholera)|Malaria|ILI|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|CL|AVH (A & E)|VH (B,C & D)
Abbottabad|424|3|34|17|18|1|14|0|0|0
Bajaur|259|97|69|25|4|22|0|0|0|0
Bannu|598|795|23|18|0|2|62|0|5|0
Battagram|192|328|619|0|0|0|0|3|5|0
Buner|278|298|0|36|0|1|8|0|0|0
Charsadda|1143|375|234|58|438|45|20|6|0|0
Chitral Lower|200|19|117|17|87|17|5|12|6|5
Chitral Upper|101|5|9|22|1|4|23|1|2|0
D.I. Khan|786|369|9|9|32|20|4|8|0|0
Dir Lower|1390|711|6|198|0|137|59|14|34|0
Dir Upper|419|12|18|15|0|11|29|5|8|0
Hangu|200|634|104|14|76|32|15|29|17|6
Haripur|1068|69|595|484|1|7|75|0|46|20
Karak|260|286|65|5|0|0|4|41|0|0
Khyber|88|288|98|4|2|23|6|13|3|5
Kohat|89|21|0|1|1|0|0|4|0|0
Kohistan Lower|129|0|0|9|0|16|1|0|0|0
Kohistan Upper|311|18|40|3|4|3|45|0|0|0
Kolai Palas|54|11|0|0|4|1|0|0|0|0
L & C Kurram|30|13|175|0|0|18|8|0|0|0
Lakki Marwat|318|277|0|61|0|12|10|6|0|0
Malakand|498|54|0|25|4|62|30|9|31|0
Mansehra|541|4|666|63|59|23|7|3|6|4
Mardan|921|151|148|301|0|35|0|4|9|1
Mohmand|143|131|32|9|4|17|11|66|0|2
Nowshera|0|5|0|2|0|0|1|1|0|0
Peshawar|1776|126|12|2|22|33|25|47|6|12
Shangla|2324|116|629|112|188|136|110|23|55|14
SWA|427|184|0|11|6|0|67|0|3|121
Swabi|142|104|115|134|149|63|15|21|18|22
Swat|1181|49|493|128|63|18|20|0|20|3
Tank|1887|53|273|46|0|47|0|0|13|3
Tor Ghar|527|401|0|29|0|1|51|19|0|0
Upper Kurram|75|117|0|2|9|13|28|6|3|0
Total|18991|6151|5112|1912|1664|1060|897|341|312|223

### 2023 42
Districts|AD (Non-Cholera)|Malaria|ILI|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|CL|AVH (A & E)|Measels
Abbottabad|443|2|36|21|26|3|14|1|0|0
Bajaur|180|133|39|21|5|25|1|9|0|8
Bannu|569|1305|43|4|3|5|46|2|1|0
Buner|282|465|0|69|0|0|13|0|0|0
Charsadda|823|394|162|21|67|18|30|11|0|2
Chitral Lower|229|24|60|13|66|21|5|15|8|1
Chitral Upper|105|3|12|10|2|3|30|1|4|1
D.I. Khan|972|494|6|18|38|15|4|4|0|7
Dir Lower|1194|519|6|194|0|116|59|9|34|20
Dir Upper|589|15|22|12|1|13|26|6|7|8
Hangu|292|364|132|7|30|25|15|26|3|3
Haripur|896|54|483|379|3|6|71|0|58|2
Karak|261|274|53|6|16|1|6|29|0|8
Khyber|65|355|77|60|0|21|8|16|2|0
Kohat|71|48|0|1|0|0|0|2|0|3
Kohistan Lower|156|1|1|8|1|14|0|0|2|0
